Description,VoteCount,Rating,Year,Title,Genres,Season_Count,Episode_Count,Production_Companies,Actors
"The 2016-17 Süper Lig (known as the Spor Toto Süper Lig for sponsorship reasons) is the 59th season of the Süper Lig, the highest tier football league of Turkey.",32.0,6.4,2016–2017,2016-2017 Süper Lig,"Sport, Back to top",1 seasons,Unknown,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K., Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K."
,0.0,,2016–2017,2016-2017 TFF Lig,"Sport, Back to top",2 seasons,34,Turkey Football Federation,"Denizlispor, Ziya Alkurt, Baris Örücü, Denizlispor, Ziya Alkurt, Baris Örücü"
"The 2017-18 Süper Lig, officially called the Süper Lig Ilhan Cavcav season, was the 60th season of the Süper Lig, the highest tier football league of Turkey.",32.0,6.4,2017–2018,2017-2018 Süper Lig,"Sport, Back to top",2 years,14,Turkey Football Federation,"Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K., Galatasaray S.K., Fenerbahçe S.K., Besiktas J.K."
,0.0,,2017–2018,2017-2018 TFF Lig,"Sport, Back to top",2 seasons,34,Turkey Football Federation,"Denizlispor, Baris Örücü, Burak Altiparmak, Denizlispor, Baris Örücü, Burak Altiparmak"
"The 2018-19 Süper Lig, officially called the Spor Toto Süper Lig Lefter Küçükandonyadis season, was the 61st season of the Süper Lig, the highest tier football league of Turkey. The season began on 10 August 2018 and concluded in May 2019.",35.0,6.4,2018–2019,2018-2019 Süper Lig,"Sport, Back to top",2 seasons,16,Turkey Football Federation,"Hugo Rodallega, Anthony Nwakaeme, Ünal Karaman, Hugo Rodallega, Anthony Nwakaeme, Ünal Karaman"
,0.0,,2018–2019,2018-2019 TFF Lig,"Sport, Back to top",2 seasons,36,Turkey Football Federation,"Denizlispor, Mehmet Akyüz, Ismail Aissati, Denizlispor, Mehmet Akyüz, Ismail Aissati"
"The 2019-20 Süper Lig, officially called the Spor Toto Süper Lig Cemil Usta season, is the 62nd season of the Süper Lig, the highest tier football league of Turkey.",32.0,5.5,2019–2020,2019-2020 Süper Lig,"Sport, Back to top",2 seasons,168,Turkey Football Federation,"Taraftar Tv, Galatasaray S.K., Denizlispor, Taraftar Tv, Galatasaray S.K., Denizlispor"
,0.0,,2019–2020,2019-2020 Turkish Cup,"Sport, Back to top",2 years,43,Turkey Football Federation,"Denizlispor, Sedat Sahintürk, Tolgahan Acar, Denizlispor, Sedat Sahintürk, Tolgahan Acar"
,12.0,5.4,2020–2021,2020-2021 Süper Lig,"Sport, Back to top",2 seasons,102,Turkey Football Federation,"Denizlispor, Hugo Rodallega, Muris Mesanovic, Denizlispor, Hugo Rodallega, Muris Mesanovic"
,19.0,1.9,2021–2022,2021-2022 Süper Lig,"Sport, Back to top",2 years,6,Turkey Football Federation,"Galatasaray S.K., Ryan Babel, Berkan Kutlu, Galatasaray S.K., Ryan Babel, Berkan Kutlu"
,0.0,,2021–2022,2021-2022 TFF Lig,"Sport, Back to top",2 seasons,36,Turkey Football Federation,"Denizlispor, Muhammed Gönülaçar, Gökhan Süzen, Denizlispor, Muhammed Gönülaçar, Gökhan Süzen"
,9.0,5.0,2022–,2022-2023 Süper Lig,"Sport, Back to top",2 years,44,Turkey Football Federation,"Galatasaray S.K., Fernando Muslera, Dries Mertens, Galatasaray S.K., Fernando Muslera, Dries Mertens"
,0.0,,2022–,2022-2023 TFF Lig,"Sport, Back to top",2 seasons,29,Turkey Football Federation,"Denizlispor, Bekir Turaç Böke, Muhammed Gönülaçar, Denizlispor, Bekir Turaç Böke, Muhammed Gönülaçar"
,0.0,,2023–2024,2023-2024 Süper Lig,"Sport, Back to top",1 seasons,18,Turkey Football Federation,"Galatasaray S.K., Okan Buruk, Mauro Icardi, Galatasaray S.K., Okan Buruk, Mauro Icardi"
,0.0,,2010,23 Buçuk,"News, Back to top",1 seasons,Unknown,D Plus,"Birtanem Candaner, Hakan Gerçek, Tolga Üstün, Birtanem Candaner, Hakan Gerçek, Tolga Üstün"
,27.0,6.6,2006,29-30,"Drama, Game-Show, Back to top",1 seasons,6,ANS Production,"Alpay Kemal Atalan, Ferit Aktug, Didem Inselel, Alpay Kemal Atalan, Ferit Aktug, Didem Inselel"
"3 Adam is a talk show program by Eser Yenenler, Ibrahim Büyükak and Oguzhan Koc, who have been very close friends since they were little.",1300.0,4.0,2013–2017,3 Adam,"Talk-Show, Back to top",1 seasons,46,Acun Medya,"Eser Yenenler, Oguzhan Koç, Ibrahim Büyükak, Eser Yenenler, Oguzhan Koç, Ibrahim Büyükak"
,0.0,,2008,3 Insan 3 Öykü,"Documentary, Biography, Back to top",1 seasons,1,,"Cem Ogretir, Tuncel Kurtiz, Altan Erkekli, Cem Ogretir, Tuncel Kurtiz, Altan Erkekli"
"One day, a fairy appears in front of two little girls living with their father and maternal uncle.",0.0,,2007,3 Tatli Cadi,"Comedy, Family, Fantasy, Back to top",1 seasons,13,Medyapim,"Aysun Kayaci, Deniz Erkanat, Elçin Sanal, Aysun Kayaci, Deniz Erkanat, Elçin Sanal"
All the contestants need to do to win prizes is to make 3 of 3 by answering 3 questions in a row.,0.0,,2019,3'te 3 Bir Zamanlar,"Game-Show, Back to top",1 seasons,13,,"Emre Altug, Hülya Koçyigit, Perihan Savas, Emre Altug, Hülya Koçyigit, Perihan Savas"
"In ""3'te 3 Tarih"" which is a History Themed Quiz, the contestants compete to answer 15 questions consisting of four options and earn 1 million liras.",28.0,7.3,2018–2020,3'te 3 Tarih,"Game-Show, Back to top",2 seasons,31,,"Tufan Gündüz, Engin Altan Düzyatan, Ethem Turgay Sendur, Tufan Gündüz, Engin Altan Düzyatan, Ethem Turgay Sendur"
Khayri Al-Dhahabi's book was described as a rare autobiographical document in the archives of the war between the Arabs and Israel.,0.0,,2022–,300 days in Israel,"Comedy, Fantasy, Back to top",1 seasons,Unknown,,"Bilal Yilmaz, Nilgün Belgün, Hakan Bilgin, Bilal Yilmaz, Nilgün Belgün, Hakan Bilgin"
,19.0,3.5,2016,3G Geldim Gördüm Güldüm Show,"Short, Back to top",1 seasons,Unknown,,"Khairy Al-Dhahabi, Khairy Al-Dhahabi"
"In the program, where guests are given only 2 minutes for each answer, a total of 40 questions are asked. The color of the toughest questions is red. The guest has the right to skip the questions that he does not want to answer. In the program, things that have not been mentioned or that are difficult to ask come to light.",23.0,3.9,2018–,40,"Comedy, Back to top",1 seasons,Unknown,BKM,"Çetin Altay, Burcu Altin, Enis Arikan, Çetin Altay, Burcu Altin, Enis Arikan"
A genetic professor wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.,4600.0,8.1,2016,46 Yok Olan,"Action, Back to top",1 seasons,Unknown,,"Reha Özcan, Cavit Çetin Güner, Hazal Kadak, Reha Özcan, Cavit Çetin Güner, Hazal Kadak"
"Yaprak has built a colorful world of four men who are far away from the girls' world since childhood, beside them. One day this world changes in the mysterious way. Because Baris enters her life. This change brings her to a discovery towards herself and the world of girls. Now she has to make a choice.",487.0,5.1,2018–2019,4N1K: Yeni Başlangıçlar,"Talk-Show, Back to top",5 seasons,103,BBO Yapim,"Jülide Ates, Buket Aydin, Cansu Canan Özgen, Jülide Ates, Buket Aydin, Cansu Canan Özgen"
"Instructor Aziz Gungor Esen, who wants to make his courses more interesting, decides to lecture the lesson topics. However, with the inept, pure and ambitious students of your theater club, things become incomprehensible.",389.0,7.0,2011,5'er Beşer,"Action, Crime, Drama, Back to top",1 seasons,13,Nunova Film,"Erdal Besikçioglu, Yasemin Kay Allen, Melis Birkan, Erdal Besikçioglu, Yasemin Kay Allen, Melis Birkan"
,0.0,,2022–,50 Fifty,"Comedy, Romance, Back to top",2 seasons,25,Fabrika Yapim,"Gözde Mutluer, Burak Yörük, Sina Ozer, Gözde Mutluer, Burak Yörük, Sina Ozer"
"After being betrayed by his boss, a hitman hides out in a vacant tailor shop, where he's mistaken for the late owner's son, an identity he decides to embrace.",6300.0,6.9,2021,50M2,"Comedy, Back to top",1 seasons,14,BKM,"Alper Kul, Ali Sunal, Irem Sak, Alper Kul, Ali Sunal, Irem Sak"
News and interviews about critical events in the world and in Turkey.,13.0,6.1,1999–,5N1K,"Music, Back to top",1 seasons,Unknown,Noah Music Entertainment,"Emel Yalçin, Emel Yalçin"
"When Leyla and Kadir, who leave the house one day, do not return home, the responsibility of their children and the shop is suddenly left to their siblings who do not like each other.",46.0,6.1,2012–2013,6 Manti,"Comedy, Drama, Thriller, Back to top",1 seasons,8,"BKM, Netflix Studios","Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt"
,0.0,,2011,6 Sport,"News, Back to top",1 seasons,Unknown,,"Cüneyt Özdemir, Cüneyt Özdemir"
,0.0,,2021,6.45 Yayinevi'nde Standart Bir Gün,"Comedy, Drama, Back to top",1 seasons,1,,"Ogüncan Özer, Didem Inselel, Ulas Torun, Ogüncan Özer, Didem Inselel, Ulas Torun"
,0.0,,2021–,64 Bars,"News, Back to top",1 seasons,Unknown,"6 NEWS - Alti Uluslararasi Medya Yayinciligi, Neuquén","Özge Pirçek, Özge Pirçek"
"A couple with no kids, four city girls and three country boys, all under the same roof: arguing, fighting and sometimes understanding they are not that much different.",4900.0,8.8,2000–2003,7 Numara,"Drama, Back to top",1 seasons,Unknown,Same Film,"Sarp Akkaya, Riza Kocaoglu, Sarp Akkaya, Riza Kocaoglu"
,0.0,,2019,8'de Bugün,"Documentary, Back to top",1 seasons,Unknown,,"Ceza, Hayki, Khontkar, Ceza, Hayki, Khontkar"
,0.0,,2021–,81 Reasons to Fall in Love with Turkey,"Comedy, Drama, Family, Back to top",3 seasons,92,Fora Film,"Emin Olcay, Engin Yüksel, Nuray Uslu, Emin Olcay, Engin Yüksel, Nuray Uslu"
,0.0,,2017,99,"News, Reality-TV, Back to top",1 seasons,30,Acun Medya,"Cansu Canan Özgen, Orkun Ün, Murat Özari, Cansu Canan Özgen, Orkun Ün, Murat Özari"
"Enis Arikan, who appeared in front of the audience with a talk show for the first time, welcomes his famous guests and asks what was not asked before.",123.0,3.8,2021,@Enis Arikan,"Documentary, Back to top",1 seasons,12,,"Franziska Niehus, Franziska Niehus"
"Azra and Kerem is a couple who meets Sebnem, however Sebnem doesn't know they're together. Sebnem has cancer, the doctor said she will die soon. Sebnem is in love with Kerem. Kerem and Azra decides to get Kerem in a relationship with Sebnem.",315.0,4.4,2013,A.S.K.,"Action, Drama, Back to top",1 seasons,6,Gold Film,"Kubilay Aka, Deniz Isin, Yasemin Kay Allen, Kubilay Aka, Deniz Isin, Yasemin Kay Allen"
,14.0,5.2,2017,AVM Sakini,Back to top,1 seasons,Unknown,ANS,"Selin Demiratar, Nurgül Yesilçay, Idil Firat, Selin Demiratar, Nurgül Yesilçay, Idil Firat"
,7.0,5.7,2002–2016,Abbas Güçlü ile Genç Bakis,"Drama, Back to top",1 seasons,1,,"Ömer Çolak, Sahin Timur, Tunahan Ordu, Ömer Çolak, Sahin Timur, Tunahan Ordu"
"Abece TV teaches Turkish alphabet in a funniest way. Actually, teachers are not people, but letters themselves.",0.0,,2016,Abece TV,"Drama, Romance, Back to top",1 seasons,13,Gold Film,"Nebahat Çehre, Hazal Kaya, Asli Tandogan, Nebahat Çehre, Hazal Kaya, Asli Tandogan"
"The story of the advertising agency employees and their confused president trying to cope with the capricious customers, troubled celebrities and the crises they face every day.",746.0,7.1,2021,Acans,"Comedy, Back to top",1 seasons,Unknown,Siu Audiovisual Productions,"Cigdem Atasoyu, Ceyda Sener Baykal, Aylin Dinc, Cigdem Atasoyu, Ceyda Sener Baykal, Aylin Dinc"
,13.0,5.5,2009–2010,Acar Kafadarlar,"News, Back to top",1 seasons,Unknown,,
Turkish television series adapted from Galip Tekin's fantastic story line.,892.0,7.5,2012,Acayip Hikayeler,"Animation, Back to top",1 seasons,Unknown,,"Cemil Islamov, Cemil Islamov"
,32.0,6.5,2020–2021,Acemi Anneler,"Comedy, Back to top",1 seasons,10,DCC Film,"Algi Eke, Melisa Berberoglu, Derya Alabora, Algi Eke, Melisa Berberoglu, Derya Alabora"
A teenage girl (Aysegul) who lives with her aunts discovers that she and the rest of her family have superpowers. Aysegul is in a love triangle between the bad boy Toygar and the good boy Selim.,917.0,3.6,2006–2007,Acemi Cadi,"Comedy, Back to top",1 seasons,6,Grafi2000 Production,"Cagatay Gencay, Ali Riza Kubilay, Kuntay Kumbur, Cagatay Gencay, Ali Riza Kubilay, Kuntay Kumbur"
A rock singer witnesses a murder and introduces himself as a muezzin in the village where he took refuge.,185.0,7.0,2009,Acemi Müezzin,"Action, Adventure, Drama, Back to top",1 seasons,11,Acayip Medya,"Hayko Cepkin, Levent Güner, Zeynep Tuncay, Hayko Cepkin, Levent Güner, Zeynep Tuncay"
"It is a dynamic program that enlivens the weekend for those who want a simple conversation, those who are curious about the artist, and those who want to watch a program with great tastes on TurmaxGurme.",0.0,,2014,Acemi Pastacilar,"Comedy, Back to top",2 years,168,Yonca Film (II),"Berk Bakioglu, Yagmur Öztürk, Tolga Akman, Berk Bakioglu, Yagmur Öztürk, Tolga Akman"
A couple whose relationship doesn't start well as neighbors later learns that they will work together as doctors at the same hospital.,402.0,5.6,2015–2019,Acil aşk Aranıyor,"Comedy, Family, Fantasy, Back to top",2 seasons,58,D Production,"Merve Bolugur, Cagkan Culha, Nergis Kumbasar, Merve Bolugur, Cagkan Culha, Nergis Kumbasar"
,36.0,4.9,2002–2006,Acun Firarda,"Comedy, Drama, Romance, Back to top",1 seasons,4,Eflatun Film,"Erkan Avci, Sebnem Sönmez, Ege Tanman, Erkan Avci, Sebnem Sönmez, Ege Tanman"
The great love of poor Mehmet and Nermin is destroyed when the rich Ender enters their lives. Mehmet swears revenge to end Ender's dark family. Also Ender's sister falls in love with Mehmet. A bitter life awaits 4 hearts.,2400.0,6.3,2005–2007,Acı Hayat,"Talk-Show, Back to top",1 seasons,12,"BGM Prodüksyon, TurkMax","Övgü Sönmez, Emre Tetikel, Oguzhan Ugur, Övgü Sönmez, Emre Tetikel, Oguzhan Ugur"
"Bulut is successful and ambitious man. He works for Ferman Köklükaya, the owner of a big construction company. He is also married to Ferman's daughter, Sude. Ferman caused the death of Bulut's father, but Bulut does not know about this. Sude and Bulut have an unhappy marriage. One day, at a hotel opening,",770.0,4.8,2015–2016,Acı aşk,"Drama, Back to top",2 years,13,TMC Film,"Alperen Duymaz, Seçkin Özdemir, Sezgi Sena Akay, Alperen Duymaz, Seçkin Özdemir, Sezgi Sena Akay"
"The paths of city businesswoman Haziran and Poyraz, a handsome and helpful young man, intersect on Swallow Island, and love arises from the disagreements of these two opposite characters.",2600.0,6.9,2021,Ada Masalı,"Action, Drama, Romance, Back to top",2 seasons,59,Sinegraf,"Kenan Imirzalioglu, Selin Demiratar, Oguz Galeli, Kenan Imirzalioglu, Selin Demiratar, Oguz Galeli"
