Description,VoteCount,Rating,Year,Title,Genres,Season_Count,Episode_Count,Production_Companies,Actors
"Abandoned by his wife, Nejat is lying to his daughter not to be upset. But as Kayra grows, these lies become unbearable. Nejat, who is trapped in the corner, meets Suna unexpectedly when he thinks that it is the end of everything. With Suna's entry into their lives, both Nejat and Kayra's world is completely changed.",508.0,6.2,2019,Benim Tatli Yalanim,"Comedy, Romance, Back to top",1 seasons,34,O3 Medya,"Furkan Palali, Asli Bekiroglu, Lavinya Ünlüer, Furkan Palali, Asli Bekiroglu, Lavinya Ünlüer"
"One morning at Orange Elementary School, the teacher asks the students to draw a picture of a giraffe. Moni begins exciting adventures with the Giraffe by dreaming, drawing and acting.",0.0,,2022–,Benim Zürafam Uçabilir,"Animation, Back to top",3 seasons,19,Dode Digital,"Oya Küçümen, Savas Pat, Cagil Ozdemir, Oya Küçümen, Savas Pat, Cagil Ozdemir"
,53.0,5.2,2019–2020,Benimle Söyle,"Game-Show, Music, Back to top",2 seasons,26,Medyapim,"Enis Arikan, Ayta Sözeri, Esra Akpinar, Enis Arikan, Ayta Sözeri, Esra Akpinar"
,0.0,,2021,Benzemez Kimse Bize,"Music, Talk-Show, Back to top",1 seasons,1,Poll Production,"Bülent Ersoy, Mustafa Keser, Bülent Ersoy, Mustafa Keser"
,39.0,6.8,2012–2015,Benzemez Kimse Sana,"Game-Show, Music, Back to top",3 seasons,26,Endemol Turkey,"Murat Basoglu, Seyfi Dursunoglu, Erol Evgin, Murat Basoglu, Seyfi Dursunoglu, Erol Evgin"
"Iskender Pala presents poetry as a bridge between the past and the present, revealing the connections between language, thought and ideas.",0.0,,2019–2020,Berceste,"Talk-Show, Back to top",1 seasons,Unknown,TRT 2,"Iskender Pala, Iskender Pala"
The story of two lovers who challenge the traditions with their love in the Southeast Anatolia.,99.0,3.8,2002,Berivan,"Drama, Back to top",1 seasons,3,Gold Film,"Sibel Tasçioglu, Emre Kinay, Sevda Ferdag, Sibel Tasçioglu, Emre Kinay, Sevda Ferdag"
,18.0,3.9,2002,Besibiryerde,"Drama, Back to top",1 seasons,9,Turkish Radio & Television (TRT),"Metin Bilgin, Armoni Dikim, Koray Ergün, Metin Bilgin, Armoni Dikim, Koray Ergün"
"Ferdiogul, who is one of the desperate inhabitants of Kisirköy (infertile village) tries to find his wife to whom he was married when they were both children and to convince her to go back to Kisirköy to heal the village's infertility.",576.0,5.9,2002,Besik kertmesi,"Comedy, Drama, Family, Back to top",1 seasons,13,Ay Yapim,"Onur Ünlü, Serkan Keskin, Osman Sonant, Tansu Biçer, Onur Ünlü, Serkan Keskin, Osman Sonant, Tansu Biçer, Onur Ünlü"
,62.0,5.6,2005–2009,Besinci Boyut,"Comedy, Back to top",1 seasons,Unknown,,"Demir Demirkan, Berke Üzrek, Özgü Namal, Demir Demirkan, Berke Üzrek, Özgü Namal"
,35.0,8.1,2002–,Beyaz Futbol/Derin Futbol,"Comedy, Drama, Back to top",1 seasons,19,Star TV,"Olgun Simsek, Meltem Cumbul, Erdal Özyagcilar, Olgun Simsek, Meltem Cumbul, Erdal Özyagcilar"
"Four brothers, one of the richest in Adana, live in a farmhouse. When Ceren, an agricultural engineer, comes to the region, the secrets of the past begin to emerge.",463.0,5.3,2005–2007,Beyaz Gelincik,"Drama, Back to top",1 seasons,17,"Ser Film, Sera Film","Ugur Izgi, Yilmaz Meydaneri, Nevzat Yilmaz, Ugur Izgi, Yilmaz Meydaneri, Nevzat Yilmaz"
"Zulfu is the gardener of Osman, who is a rich network. Osman is one of the strongest names in the drug market. Zulfu, who was imprisoned for Osman, takes action to get his revenge when the punishment is over.",41.0,6.3,2014,Beyaz Karanfil,"News, Reality-TV, Sport, Back to top",1 seasons,1,,"Abdülkerim Durmaz, Sinan Engin, Rasim Ozan Kütahyali, Abdülkerim Durmaz, Sinan Engin, Rasim Ozan Kütahyali"
A poor girl who looks so much like a rich girl takes her place.,100.0,5.6,2015,Beyaz Yalan,"Crime, Drama, Mystery, Back to top",2 seasons,74,TMC Film,"Erkan Petekkaya, Riza Akin, Birsen Dürülü, Erkan Petekkaya, Riza Akin, Birsen Dürülü"
Nana who used to be a doll lives for 100 years in the fictional World of Toys right after her owner loses her.For her 100th birthday she wishes to be a human and she is sent back to the real world.,837.0,2.7,2007–2010,Bez Bebek,"Action, Crime, Drama, Back to top",1 seasons,6,Fark Film,"Hakan Boyav, Kenan Çoban, Ali Sürmeli, Hakan Boyav, Kenan Çoban, Ali Sürmeli"
,0.0,,2012,Bezm-i Alaturka,"Drama, Romance, Back to top",1 seasons,6,NTC Medya,"Kutsi, Deniz Baysal, Ebru Aykaç, Kutsi, Deniz Baysal, Ebru Aykaç"
"From people in everyday life, problems of communication between people and stunning examples of non-compliance with social rules are narrated.",52.0,6.6,2001,Beş Dakikalik Bir Mesele,"Comedy, Drama, Family, Back to top",3 seasons,49,"Focus Film Production, Focus Films","Güzin Usta, Asena Keskinci, Oya Aydogan, Güzin Usta, Asena Keskinci, Oya Aydogan"
"This is one of the five brothers, not like in the slightest way to another.",3600.0,8.4,2015,Beş Kardeş,"Music, Back to top",1 seasons,1,,"Ahirkapi Roman Orkestrasi, Buse Askar, Müge Altun, Ahirkapi Roman Orkestrasi, Buse Askar, Müge Altun"
,12.0,5.5,2015,Bi Dünya Şov,"Comedy, Back to top",1 seasons,Unknown,"MedyaSOS, NTV","Hakan Hepcan, Marie Hartlieb, Salih Zafer Kunt, Hakan Hepcan, Marie Hartlieb, Salih Zafer Kunt"
BI HABER YALOVA PROGRAM IS ASSESSING THE YALOVA AGENDA WITH MODERATOR EMRE KARAOGLU.,0.0,,2021,Bi Haber Yalova,"Talk-Show, Back to top",1 seasons,Unknown,Kent 77 TV,"Emre Karaoglu, Emre Karaoglu"
,140.0,7.3,2006–2007,Bi Is Için Lazim,"Game-Show, Back to top",1 seasons,Unknown,Dada Film,"Cemil Büyükdögerli, Defne Joy Foster, Cemil Büyükdögerli, Defne Joy Foster"
,0.0,,2021–,Bilalfa,"Talk-Show, Back to top",2 seasons,347,,"Bilal Yilmazlar, Mehmet Ali Özdemir, Pelin Baynazoglu, Bilal Yilmazlar, Mehmet Ali Özdemir, Pelin Baynazoglu"
,0.0,,2022–,Bilgin Çocuklar,"Game-Show, Back to top",1 seasons,Unknown,D8 Medya,"Emre Yurttakalin, Emre Yurttakalin"
,15.0,6.8,2017–2018,Bilin Deneyin,Back to top,2 years,14,Young Guru Academy,"Asude Altintas, Cihan Özalevli, Ozan Güven, Asude Altintas, Cihan Özalevli, Ozan Güven"
,0.0,,2020–,Bilirkisi Degiliz,"Talk-Show, Back to top",2 years,10,,"Sait Furkan Teke, Ömer Topcu, Sait Furkan Teke, Ömer Topcu"
"Assassination of Mehmet Baydar and Bahadir Demir. The two Turkish diplomats, Consul General Baydar and Vice Consul Demir, were murdered by Armenian-American Gourgen Yanikian.",92.0,8.0,2023–,Biltmore Oteli Cinayeti,"Documentary, Crime, History, Back to top",1 seasons,6,Heybe Film,"Alp Ilkman, Isil Mete, Özkan Karadar, Alp Ilkman, Isil Mete, Özkan Karadar"
Sehrazat's boss offers to pay for her son's treatment for leukemia if she spends the night with him and when that evolves into love they face a struggle to banish the secret of that night.,3400.0,5.3,2006–2009,Binbir Gece,"Drama, Back to top",3 seasons,90,TMC Film,"Halit Ergenç, Bergüzar Korel, Tardu Flordun, Halit Ergenç, Bergüzar Korel, Tardu Flordun"
"Four people born on the same day. All four are about to live the most important day of their lives. While Cem is preparing to celebrate his birthday with his wife, Reyhan, Reyhan's birth pains begin. Even though there is a risky birth, they believe that everything will go well until the last moment and that they will take their babies.",254.0,7.3,2019,Bir Aile Hikayesi,"Comedy, Romance, Back to top",1 seasons,25,Ay Yapim,"Ayça Aysin Turan, Alp Navruz, Nihan Büyükagaç, Ayça Aysin Turan, Alp Navruz, Nihan Büyükagaç"
"Suna is a beautiful woman in her 40s who works at a small fisherman's shop on Göksu Beach. She lives in a tiny house with her children. Her biggest support in life is her elder son Yusuf. Yusuf, in his early twenties, is someone who puts his family above everything else, is successful in his lessons, and understands the situation despite all poverty.",55.0,6.1,2020,Bir Annenin Günahi,"Drama, Back to top",2 seasons,18,Medyapim,"Songül Öden, Birkan Sokullu, Celil Nalçakan, Songül Öden, Birkan Sokullu, Celil Nalçakan"
,0.0,,2019–2022,Bir As Hikayesi,"Drama, Back to top",1 seasons,5,"Limon Film, Skala Yapim","Özge Özberk, Musa Uzunlar, Mert Yazicioglu, Özge Özberk, Musa Uzunlar, Mert Yazicioglu"
"While searching for his birth parents, a poor orphan Korkut Ali meets Ceylan. However, when he finds his mother it's rich and lives a happy life, and she has a son, he decides to seek revenge against her but his love for Ceylan stops him.",766.0,6.7,2013–2014,Bir Aşk Hikâyesi,"Documentary, Back to top",1 seasons,Unknown,,"Riza Sönmez, Riza Sönmez"
"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.",29000.0,8.5,2020,Bir Baskadir,"Drama, Romance, Back to top",2 years,36,MF Yapim,"Seçkin Özdemir, Damla Sönmez, Yamaç Telli, Seçkin Özdemir, Damla Sönmez, Yamaç Telli"
,0.0,,2004,Bir Bogaz Efsanesi: Vapurlar,"Drama, Thriller, Back to top",1 seasons,8,Krek Film,"Öykü Karayel, Fatih Artman, Funda Eryigit, Öykü Karayel, Fatih Artman, Funda Eryigit"
"Melike Candan a star in the 80s, now cleans toilets at a bar where one days he meets Gökçe Yücel, who has big hopes for the future.",346.0,5.9,2018,Bir Deli Rüzgar,"Documentary, Back to top",1 seasons,2,,"Murat Utku, Ahmet Güleryüz, Salih Yosmaoglu, Murat Utku, Ahmet Güleryüz, Salih Yosmaoglu"
"Bahar lives with his mother Nermin in Telli Kavak, one of the edge of Istanbul. Bahar thinks her father is dead. Bahar's only goal is to offer a better life to her sick mother. Bahar comes from ignoring the love of her friend Kemal to herself and falls in love with Mehmet who has never met an unexpected moment.",47.0,4.7,2017,Bir Deli Sevda,"Drama, Romance, Back to top",2 years,29,TIMS Productions,"Aslihan Gürbüz, Engin Akyürek, Melisa Sözen, Aslihan Gürbüz, Engin Akyürek, Melisa Sözen"
"Deniz is a small boy who lives in a town with her father and is loved by all. But he feels bad that he grew up without a mother. Deniz's father, Hakan, had a love affair with Zeynep, but life somehow parted them. Therefore, Deniz was left without mother. One day Zeynep comes to this town with her husband Semih and becomes happy when she meets Deniz.",32.0,4.0,2015,Bir Deniz Hikayesi,"Drama, Romance, Back to top",1 seasons,6,TMC Film,"Pinar Deniz, Berk Cankat, Almila Ada, Pinar Deniz, Berk Cankat, Almila Ada"
"Dr. Nilüfer is constantly pursuing a secret that could jeopardize her work, which will lead to a major conflict with the inflexible prosecutor Ömer (Mert Firat).",167.0,7.2,2023,Bir Derdim Var,"Drama, Romance, Back to top",1 seasons,4,Pastel Film,"Erkan Kolçak Köstendil, Cansu Tosun, Erdinç Gülener, Erkan Kolçak Köstendil, Cansu Tosun, Erdinç Gülener"
,0.0,,2020,Bir Dövüsçünün Dünya Maceralari,"Drama, Back to top",1 seasons,6,AyNA Yapim,"Birce Akalay, Mert Firat, Engin Hepileri, Birce Akalay, Mert Firat, Engin Hepileri"
"In the most unexpected places, in the most remote corners, life awaits you to discover it all over the world.",30.0,5.4,2013–,Bir Dünya Yaşam,"Documentary, Back to top",1 seasons,4,E2 Medya,"Ertan Balaban, Ertan Balaban"
,22.0,4.3,2012,Bir Ferhat ile Şirin hikayesi,"Documentary, Back to top",3 seasons,35,Fincan Medya,
,0.0,,2003–2004,Bir Filmin Hikayesi,"Drama, Back to top",1 seasons,Unknown,Koliba Film,"Ilhami Adsal, Sedef Avci, Murat Aydin, Ilhami Adsal, Sedef Avci, Murat Aydin"
Based on the novel 'Kurt Seyt and Murka'.,0.0,,2011,Bir Gunah Gibi,"History, Back to top",1 seasons,8,Tekden Film,"Miraç Sözer, Larissa Lara Türközer, Ali Karadagli, Miraç Sözer, Larissa Lara Türközer, Ali Karadagli"
,0.0,,2009,Bir Insan,"Documentary, Short, Back to top",1 seasons,1,,"Hale Soygazi, Kayhan Yildizoglu, Bora Ayanoglu, Hale Soygazi, Kayhan Yildizoglu, Bora Ayanoglu"
"Arhans are among the richest in Istanbul, Kozanlar are the servants of the Arhans. The maid's daughter, Esma, is torn between the love of the two sons of the Arhan house.",1600.0,6.5,2003–2005,Bir Istanbul Masali,"Drama, Back to top",1 seasons,Unknown,,"Özge Borak, Burak Hakki, Hande Soral, Özge Borak, Burak Hakki, Hande Soral"
"Bahar was born in Kars, grew up, married visibly. Because of her husband, she has not been a child, but the fault is always known from Bahar. When her husband tried to get a man who called ""brother"" one night to ""save his manhood"" into Bahar's bosom, she was helpless and found her hand blooded. Her old name, she left her life in Kars and set off to other lands Bahar.",22.0,5.0,2011–2012,Bir Kadin Tanidim,"Documentary, Back to top",1 seasons,Unknown,D Plus,"Birtanem Candaner, Tolga Üstün, Birtanem Candaner, Tolga Üstün"
Searching for a photograph in different locations. Every single photograph has a special meaning.,0.0,,2021,Bir Kare Bir Anlam,"Drama, Back to top",2 seasons,29,TMC Film,"Sonia Özlem Ivelik, Ahu Türkpençe, Mehmet Aslantug, Sonia Özlem Ivelik, Ahu Türkpençe, Mehmet Aslantug"
Sometimes the bad happen to make way for the good. (Destiny),387.0,6.0,2022–2023,Bir Küçük Gün Isigi,"Drama, Romance, Back to top",1 seasons,14,Pana Film,"Ekin Türkmen, Ertan Saban, Savas Özdemir, Ekin Türkmen, Ertan Saban, Savas Özdemir"
"Cihan is preparing for university with great excitement. When she wins the university, as she imagines, she finds another tension: ""Love"". Cihan felt that she had just started to live, in fact, she had a disease without treatment and Figen(her mother) is the first who learns it.",389.0,4.9,2018–2019,Bir Litre Gözyasi,"Documentary, Back to top",1 seasons,6,TRT 2,"Onur Huseyin Kilinç, Huseyin Taskin, Onur Huseyin Kilinç, Huseyin Taskin"
,11.0,4.6,2014–2015,Bir Milyon Canli Para,"Drama, Romance, Back to top",2 years,36,NGM,"Seray Kaya, Berk Oktay, Tugçe Açikgöz, Seray Kaya, Berk Oktay, Tugçe Açikgöz"
"Growing up in the muddy streets of Cukurdere, Damla(Su Kutlu) lives a life like a servant, not like a child, with Maksude(Ahu Sungur), who raised her. One day, in misery and despair, a young lawyer named Yigit(Furkan Palali) knocks on their door. He tells Damla, who does not know who his real parents are, that his grandfather is Azim Sancaktar(Cihan Unal), one of the richest men in the country, and that he wants to give him a new life. With the news he brings, Yigit will not only open the doors of a completely different world.",74.0,4.3,2018,Bir Mucize Olsun,"Drama, Back to top",2 years,15,"MF Yapim, Medyapim","Miray Daner, Tolga Tekin, Mert Yazicioglu, Miray Daner, Tolga Tekin, Mert Yazicioglu"
"Alina Boz gives life to a babysitter named ""Zeynep"". Zeynep, who grew up facing many challenges, partly due to her useless father, will face the biggest test when she stumbles upon a bag of cash.",478.0,6.1,2022,Bir Peri Masali,"Game-Show, Back to top",1 seasons,6,,"Tolga Üstün, Mesut Yar, Engin Altan Düzyatan, Tolga Üstün, Mesut Yar, Engin Altan Düzyatan"
"Painter Mahir Güven talks about paintings, sometimes with an artist, sometimes with an art historian. Güven and his guest will discuss the painter of the painting they have chosen, the feelings and thoughts in the painting, and the effects it evokes in those who see it.",0.0,,2019–2020,Bir Resim Bir Hikaye,"Drama, Romance, Back to top",1 seasons,3,Pastel Film,"Furkan Palali, Su Kutlu, Cihan Ünal, Furkan Palali, Su Kutlu, Cihan Ünal"
,16.0,4.0,2022–2023,Bir Sansim Olsa,"Drama, Romance, Back to top",1 seasons,13,Medyapim,"Alina Boz, Taro Emir Tekin, Nazan Kesal, Alina Boz, Taro Emir Tekin, Nazan Kesal"
"A mother seeking a solution to her daughter's incurable illness embarks on a search for healing, from yoga to shaman rituals, from leech therapy to abstinent nourishment. You will witness both this adventure and the opinions of the experts in the spill-drama of the real life story adapted from Ela Safak Atakan's book of the same name.",68.0,6.7,2021,Bir Sifa Bagimlisinin Itiraflari,"Biography, History, Back to top",2 seasons,117,TRT 2,"Gülveli Kaya, Teymur Rzayev, Kemal Iskender, Gülveli Kaya, Teymur Rzayev, Kemal Iskender"
,0.0,,2017,Bir Sorun mu Var?,"Drama, Reality-TV, Back to top",2 seasons,27,,"Ahu Sungur, Ahu Sungur"
,6.0,9.5,2022–2023,Bir Tugan,"Documentary, Back to top",1 seasons,6,AC Film,"Ela Basak Atakan, Deniz Tezuçan, Banu Ozmen, Ela Basak Atakan, Deniz Tezuçan, Banu Ozmen"
"When a conspiracy sends a baby floating ashore, circumstances alter the lives of two families, and specifically mothers with a father trapped in-between.",189.0,4.8,2018,Bir Umut Yeter,"Game-Show, Back to top",1 seasons,7,Imaj,"Ali Sunal, Ali Sunal"
,23.0,5.6,2013,Bir Yastikta,"Documentary, Back to top",1 seasons,1,Tvnet,"Nazgul Kenzhatay, Nazgul Kenzhatay"
,0.0,,2017–2018,Bir Yastikta Kocayalim,"Drama, Back to top",1 seasons,6,MF Yapim,"Tolgahan Sayisman, Esra Bilgiç, Hazal Subasi, Tolgahan Sayisman, Esra Bilgiç, Hazal Subasi"
"The dreams of Hasan Can Kaya, who lives with his low-income family in Güngören district of Istanbul and wants to become a comedian one day, are mixed with the realities of life.",2400.0,5.2,2021,Bir Yeraltı Sit-Com'u,"Comedy, Family, Back to top",1 seasons,Unknown,Hisseli Harikalar,"Özge Borak, Bülent Emrah Parlak, Erdal Tosun, Özge Borak, Bülent Emrah Parlak, Erdal Tosun"
,19.0,4.6,2009–2010,Bir Zahmet,Back to top,2 seasons,105,,"Volkan Özler, Zafer Akinci, Volkan Özler, Zafer Akinci"
The stories of people who witnessed the changes in their neighborhoods.,0.0,,2019,Bir Zamanlar,"Comedy, Back to top",1 seasons,10,Hap Yapim,"Hasan Can Kaya, Ezgi Gör, Günay Karacaoglu, Hasan Can Kaya, Ezgi Gör, Günay Karacaoglu"
Turkish television series about Turkish Cypriots and the period before the Operation of Cyprus. The published trailers also shows about the activities of pro-Enosis Greeks in the series.,580.0,7.3,2021–2022,Bir Zamanlar Kibris,"Documentary, Biography, Back to top",2 years,5,,"Mümtaz Sevinç, Nebil Özgentürk, Sumru Yavrucuk, Mümtaz Sevinç, Nebil Özgentürk, Sumru Yavrucuk"
A young couple who dreams of marriage conceal their identity to escape from the darned. They will introduce themselves as sibling and work in the farm in Adana.,1400.0,5.3,2018–2022,Bir Zamanlar Çukurova,"Comedy, Back to top",1 seasons,Unknown,Örümcek Yapim,"Gokhan Yikilkan, Gokhan Yikilkan"
Mustafa is in love with his cousin Narin to the point of obsession. Narin does not love Mustafa but ends up becoming his wife against her will. Mustafa's father is mayor of the small town and used to getting his way.,966.0,6.3,2009–2010,Bir bulut olsam,"Documentary, Back to top",1 seasons,6,TRT 2,
One of the most important revolts in the Ottoman Empire is the 1729 Patrona Halil Rebellion. It is at a time when Sultan 3. Ahmet was on the throne and his efforts to shift Ottoman relations with Europe from the battlefields to the field of diplomacy were experienced.,169.0,4.5,2012,Bir zamanlar Osmanlı: Kıyam,"Action, History, Back to top",2 seasons,24,TMC Film,"Ahmet Kural, Pelin Karahan, Serkan Çayoglu, Ahmet Kural, Pelin Karahan, Serkan Çayoglu"
A young girl excluded by her family will be protected by a grown man.,198.0,6.4,2011–2012,Bir Çocuk Sevdim,"History, Back to top",2 seasons,3,,"Türkan Soray, Hazim Körmükcü, Firat Tanis, Türkan Soray, Hazim Körmükcü, Firat Tanis"
,0.0,,2011–2012,Bir Ömür Yetmez,"Drama, Back to top",4 seasons,141,"ATV, Tims & B Productions","Hilal Altinbilek, Bülent Polat, Sibel Tasçioglu, Hilal Altinbilek, Bülent Polat, Sibel Tasçioglu"
,0.0,,2020,Bire Bir,"Comedy, Drama, Romance, Back to top",2 years,39,TMC Film,"Bülent Inal, Çetin Tekindor, Gülcan Arslan, Bülent Inal, Çetin Tekindor, Gülcan Arslan"
"Most successful real life format ever on Turkish TV, four seasons between 2001 and 2003, now gone for good. A group of young Turkish lads and girls live together in a building in Istanbul and ran a taxi cab company. Every week, one is voted off.",57.0,3.8,2001–2007,Biri Bizi Gözetliyor,"Drama, Back to top",1 seasons,Unknown,TMC Film,"Naz Elmas, Mert Firat, Nazan Kesal, Naz Elmas, Mert Firat, Nazan Kesal"
"""I'm Göktan Eker Sometimes finding a bomb that will explode - Catching Poison Merchants - Sometimes he was a fleeing criminal to neutralize - Saving a person in danger - Sometimes I train staff to protect a little boy. "" I do all this by listening to and understanding dogs.",0.0,,2021,Birim K9,"Talk-Show, Back to top",1 seasons,1,,
,0.0,,2015,Birlik Sokak,"Game-Show, Reality-TV, Back to top",1 seasons,2,Senkron TV,"Mischa Zickler, Öykü Serter, Mischa Zickler, Öykü Serter, Mischa Zickler"
"The love story of Yaman and Feraye, made for each other, yet from different worlds.",176.0,4.0,2010–2011,Bitmeyen Sarki,"Animation, Back to top",1 seasons,Unknown,Maus Animation,
"Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat.",3900.0,5.8,2023,Biz Kimden Kaçıyorduk Anne?,"Comedy, Drama, Music, Back to top",2 years,32,"Gold Film, Gold Filmcilik","Bergüzar Korel, Bülent Inal, Tuncer Salman, Bergüzar Korel, Bülent Inal, Tuncer Salman"
"Three close boyfriends who live together and three girlfriends who are their opposite, cross paths in a cafe. These six people fall in love with each other.",483.0,7.3,2002,Biz size asik olduk,"Comedy, Romance, Back to top",1 seasons,Unknown,Most Production,"Erdem Akakçe, Ilker Aksum, Sevinç Gürsen Akyildiz, Erdem Akakçe, Ilker Aksum, Sevinç Gürsen Akyildiz"
"Tired of disappointing relationships, Deniz and Sarp look for the last resort in books that provide relationship advice. Every time they try to get to know each other, they sometimes laugh, sometimes have emotional moments, and sometimes find themselves in various oddities.",463.0,6.4,2022,Bizden Olur Mu,"Comedy, Romance, Back to top",1 seasons,10,,"Sarp Bozkurt, Deniz Isin, Berkay Tulumbaci, Sarp Bozkurt, Deniz Isin, Berkay Tulumbaci"
"Sinem dies in a terrorist attack in Istanbul. With the news of Sinem's death, his lover Sinan, who started to break with life and reality day by day, must return to the line that separates him from Sinem and save Sinem.",329.0,5.7,2021,Bizi Ayiran Çizgi,"Drama, Back to top",1 seasons,5,"90 Film Production, Gain","Hazal Subasi, Ozan Dolunay, Hazal Subasi, Ozan Dolunay"
"Mehmet Onder and his guests examine various works, genres and themes from Classical Turkish literature.",0.0,,2021,Bizim Edebiyatimiz,"Documentary, Back to top",1 seasons,Unknown,"Fiyaka Film, TRT 2","Mehmet Onder, Mehmet Onder"
A mother named Nemide always tries to keep her family together.,144.0,5.7,2000–2008,Bizim Evin Halleri,"Comedy, Drama, Family, Back to top",5 seasons,10,"Kanal 1, Turkish Radio & Television (TRT)","Mert Firat, Serhat Mustafa Kiliç, Tolga Tekin, Mert Firat, Serhat Mustafa Kiliç, Tolga Tekin"
"Filiznha has been struggling to survive in one of the city's slums, she is the eldest daughter of the family and has been taking care of her five younger siblings since their mother left them and their father is addicted to alcohol.",3300.0,6.5,2017–2019,Bizim Hikaye,"Comedy, Drama, Romance, Back to top",2 seasons,70,Medyapim,"Paul Abbott, Hazal Kaya, Burak Deniz, Reha Özcan, Paul Abbott, Hazal Kaya, Burak Deniz, Reha Özcan, Paul Abbott"
,0.0,,2021,Bizim Köyün Kizlari,"Game-Show, Back to top",1 seasons,1,,
"A school of life where students learn new lessons in lessons, at the same time have fun together, build solid friendships, learn to be with their friends during difficult times. The 10-A class, where the disgruntled students of the school come together, is the fear of the teachers.",97.0,2.8,2013,Bizim Okul,"Comedy, Back to top",1 seasons,7,,"Zeki Alasya, Levent Ülgen, Cem Davran, Zeki Alasya, Levent Ülgen, Cem Davran"
,19.0,5.5,1999–2000,Bizim Sokak,"Adventure, Comedy, Drama, Back to top",1 seasons,13,Yönder Yapim,"Ciguli, Mete Yavasoglu, Peri Mehtap Çiçek, Ciguli, Mete Yavasoglu, Peri Mehtap Çiçek"
,85.0,5.0,2011,Bizim Yenge,"Comedy, Back to top",1 seasons,18,,"Tülin Özen, Sebnem Bozoklu, Ilker Aksum, Tülin Özen, Sebnem Bozoklu, Ilker Aksum"
"Ali is a man who committed a murder, and was convicted of murdering his pregnant wife and was ten years imprisoned unfairly. Orhan, an origin from the Ottoman dynasty, is a noble origin. He believes that the child he owns in a way that is not legitimate is his own son.",669.0,7.6,2007–2008,Biçak Sirti,"Drama, Back to top",2 years,30,TMC Film,"Fikret Kuskan, Nejat Isler, Mehmet Günsür, Fikret Kuskan, Nejat Isler, Mehmet Günsür"
,45.0,7.6,2016–,Bobin Kafa,"Talk-Show, Back to top",1 seasons,3,,"Ozan Sarigül, Sadie Sink, Dave Bautista, Ozan Sarigül, Sadie Sink, Dave Bautista"
"A drama about a family whose father was in debt. After they lose everything, they move to Bodrum where the parents had been born. They struggle to save the father from the police.",659.0,6.0,2016–2017,Bodrum Masalı,"Drama, Romance, Back to top",2 years,42,TMC Film,"Timuçin Esen, Sevval Sam, Dilan Çiçek Deniz, Timuçin Esen, Sevval Sam, Dilan Çiçek Deniz"
,0.0,,2016,Bodrum da Yarim Yamalak,"Action, Comedy, Drama, Back to top",1 seasons,Unknown,Avn Film production,"Ulas Kocer, Canan Karaca, Merve Yazici Oglu, Ulas Kocer, Canan Karaca, Merve Yazici Oglu"
"Deniz is an idiosyncratic, stubborn and passionate woman. She followed her dreams and opened a cafe called Bonkis instead of doing her architectural profession, but her rosy dreams did not match the reality. Struggling to survive economically, Deniz struggles with the complex life of her family on the one hand.",891.0,6.7,2021–2022,Bonkis,"Comedy, Drama, Back to top",2 seasons,15,,"Vildan Atasever, Öykü Naz Altay, Deniz Tezuysal, Vildan Atasever, Öykü Naz Altay, Deniz Tezuysal"
"While a different topic is covered in the program every week; urban life, relationships and life in general. The program with a different guest each week; While translating a fun conversation on the chosen topic of the week, it also shares information that you can show off in the environments.",30.0,6.7,2020–2021,Boom by Ibrahim Selim,"Comedy, Talk-Show, Back to top",2 seasons,24,,"Ibrahim Selim, Pinar Deniz, Nilperi Sahinkaya, Ibrahim Selim, Pinar Deniz, Nilperi Sahinkaya"
Famous names are fighting on the ring.,28.0,6.2,2017,Boxun Yildizlari,"Reality-TV, Back to top",1 seasons,77,Acun Medya,"Asena, Berna Canbeldek, Bilgehan Demir, Asena, Berna Canbeldek, Bilgehan Demir"
"a group of orphaned high school children who started life 3-0 behind, bringing the situation to 3-3.",85.0,5.0,2014,Boynu Bükükler,"Comedy, Back to top",1 seasons,7,D production,"Ahmet Saraçoglu, Anil Altan, Gün Koper, Ahmet Saraçoglu, Anil Altan, Gün Koper"
"In his profession, experienced captain Seyfi and rookie policeman Nuri Pamir face a child murder in the city. This murder leads them to the city's populated business man Abbas and his daughter Dilara.",3600.0,8.0,2018–,Bozkır,"Crime, Drama, Mystery, Back to top",2 seasons,18,ARC Film,"Yigit Özsener, Bülent Düzgünoglu, Ekin Koç, Yigit Özsener, Bülent Düzgünoglu, Ekin Koç"
,86.0,9.6,2022–,Bozuk Mikrofon,"Comedy, Talk-Show, Back to top",2 seasons,23,,"Özgür Turhan, Deniz Bagdas, Özgür Turhan, Deniz Bagdas"
,1300.0,6.2,2018–,Bu Gece,"Comedy, Talk-Show, Back to top",4 seasons,156,Onedio,"Ibrahim Selim, Buse Kara, Mert Efe Günaydin, Ibrahim Selim, Buse Kara, Mert Efe Günaydin"
,16.0,6.9,2020,Bu Iliski Nasil Kurtulur,"Talk-Show, Back to top",1 seasons,Unknown,,"Yigitcan Erdogan, Tancan Fumen, Mert Gunhan, Yigitcan Erdogan, Tancan Fumen, Mert Gunhan"
